u,v,key,osmid,highway,name,oneway,ref,reversed,length,geometry,lanes,maxspeed,bridge,tunnel,width,access,traffic
499185615,258071908,0,1070720650,tertiary,銀座桜通り,False,,False,7.75915701613482,"LINESTRING (139.7688353 35.6747596, 139.7687537 35.6747814)",,,,,,,1
499185615,1105152894,0,568498791,trunk,中央通り,True,15,False,140.476996693738,"LINESTRING (139.7688353 35.6747596, 139.7687221 35.674651, 139.7679219 35.6738992, 139.7678813 35.6738611, 139.7678195 35.673803)",2,50,,,,,1
499185615,1105125075,0,"[1070720648, 968060910]",tertiary,銀座桜通り,False,,True,41.6417486383506,"LINESTRING (139.7688353 35.6747596, 139.7689585 35.6747266, 139.7690152 35.6746897, 139.7692171 35.6745584)",,,,,,,1
499185617,1105152881,0,690198421,tertiary,銀座桜通り,False,,True,24.0253742280232,"LINESTRING (139.7675105 35.6751535, 139.7677584 35.6750752)",,,,,,,1
499185617,473470198,0,690198419,tertiary,銀座桜通り,False,,False,25.3778221679246,"LINESTRING (139.7675105 35.6751535, 139.7673039 35.6752181, 139.7672485 35.6752359)",,,,,,,1
499185790,1105125625,0,667962676,tertiary,御門通り,True,,False,7.60022798960019,"LINESTRING (139.761266 35.6676018, 139.7611885 35.6676284)",,,,,,,1
510591085,510591086,0,95277526,unclassified,銀座柳通り,True,,False,40.0165673055075,"LINESTRING (139.7670192 35.6743665, 139.7673563 35.674133)",,,,,,,1
510591085,565362116,0,39629431,unclassified,銀座レンガ通り,True,,False,128.870621989561,"LINESTRING (139.7670192 35.6743665, 139.7669774 35.6743262, 139.7667008 35.6740579, 139.7661247 35.6735234, 139.7660882 35.6734884)",,,,,,,1
510591086,1105152920,0,95277526,unclassified,銀座柳通り,True,,False,48.8759264161149,"LINESTRING (139.7673563 35.674133, 139.7676559 35.6739228, 139.767698 35.6738932, 139.7677657 35.6738456)",,,,,,,1
510591086,7004247500,0,207093731,residential,銀座ガス灯通り,True,,False,44.1838194841275,"LINESTRING (139.7673563 35.674133, 139.7673941 35.6741692, 139.7676726 35.6744361)",,,,,,,1
559359752,1070638575,0,4848928,primary,昭和通り,True,316,False,126.290632867367,"LINESTRING (139.7650145 35.6680362, 139.7654503 35.6683794, 139.7657226 35.6685886, 139.7659153 35.668744, 139.766018 35.6688269)",,,,,,,1
559359752,559979729,0,39629550,unclassified,交詢社通り,True,,False,63.0371547566803,"LINESTRING (139.7650145 35.6680362, 139.7649389 35.6680959, 139.7645142 35.6684314)",,,,,,,1
559359760,559979730,0,680788592,unclassified,みゆき通り,True,,False,38.7783814345967,"LINESTRING (139.7652703 35.6694588, 139.7655843 35.669221)",,30,,,,,1
559359760,1130958964,0,43988828,unclassified,,True,,False,92.0522213137819,"LINESTRING (139.7652703 35.6694588, 139.7653191 35.6694954, 139.7660245 35.6700155)",,,,,,,1
559359763,1130958602,0,39629550,unclassified,交詢社通り,True,,False,31.0979276673492,"LINESTRING (139.7642258 35.6686491, 139.7640215 35.6687961, 139.763967 35.6688335)",,,,,,,1
559359763,559359760,0,43988828,unclassified,,True,,False,130.419640206434,"LINESTRING (139.7642258 35.6686491, 139.7642761 35.6686877, 139.7652206 35.6694215, 139.7652703 35.6694588)",,,,,,,1
559979729,559359763,0,39629550,unclassified,交詢社通り,True,,False,35.5630485345717,"LINESTRING (139.7645142 35.6684314, 139.7642258 35.6686491)",,,,,,,1
559979729,1721499345,0,44049166,unclassified,,True,,False,53.529176564067,"LINESTRING (139.7645142 35.6684314, 139.7644617 35.6683917, 139.7640807 35.6681032)",1,,,,,,1
559979730,559979729,0,44049166,unclassified,,True,,False,130.619529603004,"LINESTRING (139.7655843 35.669221, 139.7655327 35.6691829, 139.7649667 35.6687805, 139.764568 35.6684698, 139.7645142 35.6684314)",1,,,,,,1
559979730,1070638575,0,680788592,unclassified,みゆき通り,True,,False,58.7817708061187,"LINESTRING (139.7655843 35.669221, 139.7659352 35.6689022, 139.766018 35.6688269)",,30,,,,,1
565362073,304153030,0,27695604,unclassified,並木通り,True,,False,76.8400095007684,"LINESTRING (139.7597795 35.6680919, 139.759795 35.668133, 139.759809 35.6681593, 139.7598132 35.6681671, 139.7602731 35.6685876, 139.7603126 35.6686238)",,,,,10,,1
565362073,473470388,0,1025991803,tertiary,御門通り,True,,False,47.5510245761909,"LINESTRING (139.7597795 35.6680919, 139.7597035 35.6681169, 139.7592915 35.6682522)",,,,,,,1
565362074,2135828579,0,44492913,unclassified,花椿通り,False,,True,5.14925798281496,"LINESTRING (139.7603876 35.6698016, 139.7603446 35.669832)",,,,,,,1
565362074,2135828574,0,240595361,unclassified,花椿通り,True,,False,4.43253314949176,"LINESTRING (139.7603876 35.6698016, 139.7604249 35.6697757)",,,,,,,1
565362075,565362076,0,240595361,unclassified,花椿通り,True,,False,40.7218962096822,"LINESTRING (139.7607027 35.6695826, 139.7610104 35.6693787, 139.761052 35.6693511)",,,,,,,1
565362075,473470387,0,240595364,unclassified,,True,,False,103.536006690693,"LINESTRING (139.7607027 35.6695826, 139.7606656 35.6695477, 139.759953 35.6688783)",,30,,,,,1
565362076,304153034,0,27695604,unclassified,並木通り,True,,False,128.357981788039,"LINESTRING (139.761052 35.6693511, 139.761089 35.6693855, 139.7619478 35.6701833, 139.7619866 35.6702206)",,,,,10,,1
565362076,565362077,0,240595361,unclassified,花椿通り,True,,False,46.3990166583794,"LINESTRING (139.761052 35.6693511, 139.7611015 35.6693145, 139.7614316 35.66907)",,,,,,,1
565362077,565362079,0,240595361,unclassified,花椿通り,True,,False,40.7519535957831,"LINESTRING (139.7614316 35.66907, 139.7617757 35.668833)",,,,,,,1
565362077,473474087,0,839784837,unclassified,見番通り,True,,False,165.914646577608,"LINESTRING (139.7614316 35.66907, 139.7613957 35.669036, 139.7602977 35.6679933, 139.7602354 35.6679378)",,,,,,,1
565362079,475008839,0,39629166,residential,金春通り,False,,True,152.764311577443,"LINESTRING (139.7617757 35.668833, 139.761737 35.6687971, 139.760715 35.6678481, 139.7606628 35.6677986)",,,,,,,1
565362079,565362096,0,240595360,unclassified,銀座すずらん通り,True,,False,129.309252737348,"LINESTRING (139.7617757 35.668833, 139.7618172 35.6688722, 139.7619882 35.6690337, 139.7626722 35.6696797, 139.7627092 35.6697146)",,,,,,,1
565362079,31254332,0,240595361,unclassified,花椿通り,True,,False,49.1633843074512,"LINESTRING (139.7617757 35.668833, 139.7620574 35.668638, 139.7621129 35.6685996, 139.7621899 35.6685462)",,,,,,,1
565362081,2019136815,0,39520581,unclassified,銀座コリドー通り,True,,False,41.0573780883925,"LINESTRING (139.7596803 35.6702965, 139.7598627 35.6706347)",,,,,,,1
